player,season,Age,team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,1B,HBP+BB,OBP+SLG,team_name
correca01,2012,17,-1,Rk,50,204,190,28,49,14,2,3,12,6,1,12,44,.258,0.305,0.4,.705,,76,1,1,1,0,1,30,13,0.705,TOT
correca01,2013,18,-1,A,117,519,450,73,144,33,3,9,86,10,10,58,83,.320,0.405,0.467,.872,,210,6,8,1,2,4,99,66,0.872,TOT
correca01,2014,19,-1,A+,62,293,249,50,81,16,6,6,57,20,4,36,45,.325,0.416,0.51,.926,,127,9,5,0,3,0,53,41,0.926,TOT
correca01,2015,20,-1,"AA,AAA",53,246,215,44,72,21,3,10,44,18,1,27,39,.335,0.407,0.6,1.007,,129,5,1,0,3,2,38,28,1.007,TOT
correca01,2015,20,13,AL,99,432,387,52,108,22,1,22,68,14,4,40,78,.279,0.345,0.512,.857,135,198,10,1,0,4,2,63,41,0.857,Houston Astros
correca01,2016,21,13,AL,153,660,577,76,158,36,3,20,96,13,3,75,139,.274,0.361,0.451,.811,124,260,12,5,0,3,5,99,80,0.812,Houston Astros
correca01,2017,22,-1,"AAA,AA",6,26,24,3,7,1,0,0,5,0,0,1,5,.292,0.308,0.333,.641,,8,0,0,0,1,0,6,1,0.641,TOT
correca01,2017,22,13,AL,109,481,422,82,133,25,1,24,84,2,1,53,92,.315,0.391,0.55,.941,155,232,12,2,0,4,5,83,55,0.941,Houston Astros
correca01,2018,23,-1,AA,5,18,16,1,3,1,0,1,2,0,0,2,5,.188,0.278,0.438,.715,,7,1,0,0,0,0,1,2,0.716,TOT
correca01,2018,23,13,AL,110,468,402,60,96,20,1,15,65,3,0,53,111,.239,0.323,0.405,.728,99,163,17,2,0,11,3,60,55,0.728,Houston Astros
correca01,2019,24,-1,AAA,6,24,21,2,7,3,0,0,2,0,0,3,5,.333,0.417,0.476,.893,,10,1,0,0,0,0,4,3,0.893,TOT
correca01,2019,24,13,AL,75,321,280,42,78,16,1,21,59,1,0,35,75,.279,0.358,0.568,.926,137,159,8,2,0,4,0,40,37,0.926,Houston Astros
correca01,2020,25,13,AL,58,221,201,22,53,9,0,5,25,0,0,16,49,.264,0.326,0.383,.709,93,77,4,3,0,1,2,39,19,0.709,Houston Astros
correca01,2021,26,13,AL,148,640,555,104,155,34,1,26,92,0,0,75,116,.279,0.366,0.485,.850,131,269,16,4,0,6,2,94,79,0.851,Houston Astros
correca01,2022,27,17,AL,136,590,522,70,152,24,1,22,64,0,1,61,121,.291,0.366,0.467,.834,140,244,18,3,0,4,2,105,64,0.833,Minnesota Twins
